,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
0,1577836800000,7180.46000000,7238.03000000,7175.62000000,7195.80000000,15.96912300,1577879999999,115162.03468078,261,8.39816200,60554.86353635,0
1,1577880000000,7193.32000000,7245.54000000,7181.54000000,7195.65000000,15.43476000,1577923199999,111466.97524843,230,7.41692700,53567.70516040,0
2,1577923200000,7191.39000000,7210.05000000,7108.11000000,7160.41000000,46.09258200,1577966399999,329494.86599468,476,31.94355700,228325.25641782,0
3,1577966400000,7152.01000000,7161.71000000,6934.29000000,6961.80000000,20.91182500,1578009599999,146884.47206020,262,6.80692400,47725.62673441,0
4,1578009600000,6958.14000000,7360.63000000,6877.78000000,7340.16000000,65.33952400,1578052799999,469345.95631523,907,41.53633400,297861.98691171,0
5,1578052800000,7342.56000000,7404.24000000,7250.00000000,7345.65000000,37.28186200,1578095999999,273417.28046397,790,20.01507000,146785.90691874,0
6,1578096000000,7344.55000000,7371.22000000,7287.38000000,7333.82000000,15.86622600,1578139199999,116420.48589913,277,7.72952900,56687.33335152,0
7,1578139200000,7335.34000000,7403.98000000,7282.25000000,7349.45000000,16.40514600,1578182399999,120289.47326492,204,7.59993000,55783.65907535,0
8,1578182400000,7363.88000000,7489.84000000,7363.88000000,7437.40000000,29.92888100,1578225599999,222837.93474543,393,15.93371200,118508.46641674,0
9,1578225600000,7444.06000000,7474.27000000,7332.96000000,7364.19000000,37.31875700,1578268799999,277498.44611923,285,28.76800700,214287.76546073,0
10,1578268800000,7359.40000000,7581.78000000,7352.92000000,7537.78000000,48.04882900,1578311999999,360908.43705608,393,17.00821600,127916.66196814,0
11,1578312000000,7551.48000000,7796.86000000,7494.67000000,7777.53000000,94.26284600,1578355199999,714661.40975351,521,66.75681100,505681.50794105,0
12,1578355200000,7785.53000000,8007.89000000,7785.53000000,7914.07000000,79.68454500,1578398399999,628883.74823443,1052,38.96979300,307653.16716341,0
13,1578398400000,7891.71000000,8198.98000000,7735.68000000,8174.34000000,163.21152100,1578441599999,1298019.42906651,1895,91.91994400,729830.06568544,0
14,1578441600000,8174.37000000,8456.12000000,8174.37000000,8347.20000000,101.44671500,1578484799999,845119.70764510,1256,51.91873400,432555.70066337,0
15,1578484800000,8339.26000000,8412.57000000,7890.00000000,8051.97000000,84.71547300,1578527999999,688054.55553078,955,45.24971600,367374.30028012,0
