symbol,price
BTCUSD4,22882.54
ETHUSD4,1626.03
XRPUSD4,0.297
BCHUSD4,134.2
LTCUSD4,96.21
USDTUSD4,1.0003
BTCUSDT,94419.35
ETHUSDT,1799.16
XRPUSDT,2.2458
BCHUSDT,364.9
LTCUSDT,85.72
BNBUSD4,325.6257
BNBUSDT,602.29
ETHBTC,0.01918
XRPBTC,8.64e-06
BNBBTC,0.006381
LTCBTC,0.000919
BCHBTC,0.00422
ADAUSD4,0.392
BATUSD4,0.2843
ETCUSD4,22.7276
XLMUSD4,0.091
ZRXUSD4,0.2525
ADAUSDT,0.6965
BATUSDT,0.1449
ETCUSDT,16.74
XLMUSDT,0.2768
ZRXUSDT,0.2716
LINKUSD4,6.9647
RVNUSD4,0.0295
DASHUSD4,60.21
ZECUSD4,43.96
ALGOUSD4,0.258
IOTAUSD4,0.25
BUSDUSD4,1.0005
BTCBUSD,44287.04
DOGEUSDT,0.17501
WAVESUSD4,2.6353
ATOMUSDT,4.356
ATOMUSD4,14.428
NEOUSDT,6.0
NEOUSD4,8.772
VETUSDT,0.02682
QTUMUSDT,2.144
QTUMUSD4,2.804
NANOUSD,2.124
ICXUSD4,0.2397
ENJUSD4,0.4568
ONTUSD4,0.2301
ONTUSDT,0.1512
ZILUSD4,0.0287
ZILBUSD,0.02805
VETUSD4,0.0241
BNBBUSD,262.8
XRPBUSD,0.30138
ETHBUSD,2356.47
ALGOBUSD,0.2344
XTZUSD4,1.1814
XTZBUSD,1.15
HBARUSD4,0.0699
HBARBUSD,0.0635
OMGUSD4,1.6934
OMGBUSD,1.6688
MATICUSD4,1.1954
MATICBUSD,1.133
XTZBTC,3.128e-05
ADABTC,7.44e-06
REPBUSD,5.2
REPUSD,5.34
EOSBUSD,1.1738
EOSUSD4,1.09
DOGEUSD4,0.0918
KNCUSD4,0.891
KNCUSDT,0.3724
VTHOUSDT,0.002613
VTHOUSD4,0.0012
USDCUSD4,1.0018
COMPUSDT,40.63
COMPUSD4,52.07
MANAUSD4,0.7261
HNTUSD4,2.9002
HNTUSDT,1.27
MKRUSD4,697.5119
MKRUSDT,1528.0
DAIUSD4,1.0005
ONEUSDT,0.01337
ONEUSD4,0.0264
BANDUSDT,0.818
BANDUSD4,2.078
STORJUSDT,0.3159
STORJUSD4,0.4241
BUSDUSDT,0.9993
UNIUSD4,6.8095
UNIUSDT,5.293
SOLUSD4,23.2867
SOLUSDT,146.38
LINKBTC,0.0001557
VETBTC,6.8e-07
UNIBTC,0.0001728
EGLDUSDT,16.67
EGLDUSD4,44.919
PAXGUSDT,3347.0
PAXGUSD4,1860.13
OXTUSDT,0.0718
OXTUSD4,0.0967
ZENUSDT,9.8
ZENUSD4,10.324
BTCUSDC,94346.32
ONEBUSD,0.0127
FILUSDT,2.719
FILUSD4,5.27
AAVEUSDT,165.31
AAVEUSD4,85.61
GRTUSDT,0.0956
GRTUSD4,0.1292
SUSHIUSD4,1.425
ANKRUSD4,0.0285
AMPUSD,0.0081
SHIBUSDT,1.345e-05
SHIBBUSD,1.078e-05
CRVUSDT,0.6429
CRVUSD4,1.047
AXSUSDT,2.517
AXSUSD4,10.99
SOLBTC,0.0015591
AVAXUSDT,21.62
AVAXUSD4,19.95
CTSIUSDT,0.071
CTSIUSD4,0.1616
DOTUSDT,4.13
DOTUSD4,6.66
YFIUSDT,5608.0
YFIUSD4,7598.84
1INCHUSDT,0.2046
1INCHUSD4,0.574
FTMUSDT,0.4806
FTMUSD4,0.5577
USDCUSDT,0.9997
ETHUSDC,1803.26
USDCBUSD,1.0003
MATICUSDT,0.4492
MANAUSDT,0.3066
MANABUSD,0.5895
ALGOUSDT,0.2256
ADABUSD,0.3851
SOLBUSD,21.61
LINKUSDT,14.61
EOSUSDT,0.6724
ZECUSDT,35.95
ENJUSDT,0.1142
NEARUSDT,2.536
NEARBUSD,1.971
NEARUSD4,2.377
OMGUSDT,0.429
SUSHIUSDT,0.648
LRCUSDT,0.1003
LRCUSD4,0.3718
LRCBTC,9.16e-06
KSHIBUSD4,0.0144
LPTUSDT,5.064
LPTBUSD,6.96
LPTUSD4,8.78
POLYUSDT,0.2624
POLYBUSD,0.264
POLYUSD,0.2628
POLYBTC,1.36e-05
MATICBTC,4.84e-06
DOTBTC,0.0001897
NMRUSDT,9.07
NMRUSD4,21.35
SLPUSDT,0.0017
SLPUSD4,0.0032
ANTUSDT,11.412
ANTUSD4,2.864
XNOUSD4,0.845
CHZUSDT,0.04099
CHZUSD4,0.1396
OGNUSDT,0.0421
OGNUSD4,0.1298
GALAUSDT,0.01672
GALAUSD4,0.0528
TLMUSDT,0.00573
TLMUSD4,0.0235
SNXUSDT,0.7
SNXUSD4,2.531
AUDIOUSDT,0.0725
AUDIOUSD4,0.264
ENSUSDT,18.08
MANABTC,1.578e-05
ATOMBTC,0.0003604
AVAXBTC,0.0002288
WBTCBTC,1.02
REQUSDT,0.1062
REQUSD4,0.1085
APEUSDT,0.5241
APEUSD4,5.6927
FLUXUSDT,0.3068
FLUXUSD4,0.905
TRXBTC,2.2e-06
TRXBUSD,0.06438
TRXUSDT,0.06697
TRXUSD4,0.0637
COTIUSDT,0.07258
COTIUSD4,0.0985
VOXELUSDT,0.0773
VOXELUSD4,0.3344
RLCUSDT,1.229
RLCUSD4,1.981
USTUSDT,0.0065
USTUSD,0.0068
BICOUSDT,0.1355
BICOUSD4,0.385
API3USDT,0.8
API3USD4,1.707
ENSUSD4,15.07
BTCUST,1000000.0
BNTUSDT,0.452
BNTUSD4,0.448
IMXUSDT,0.564
IMXUSD4,0.881
SPELLUSDT,0.0007725
SPELLUSD4,0.0009
JASMYUSDT,0.004962
JASMYUSD4,0.0068
FLOWUSDT,0.4
FLOWUSD4,1.11
GTCUSDT,0.321
GTCUSD4,2.062
